matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
3,0,76561198041848691,team_Cuuurl_o_,Atlas,11,13,1431,2,0,0,0,3,2,42,2,3,6,6,1344,1431,147,35,1,1,0,0,3,2,54750,0,2900,519,6,46700,12
3,0,76561198090211954,team_Cuuurl_o_,Cuuurl o} ♿,6,13,945,2,0,0,0,0,3,5,1,1,11,8,1326,945,141,29,0,0,2,0,5,1,55200,0,1800,449,3,44400,16
3,0,76561199163643591,team_Cuuurl_o_,✯ BIGGIE CHEESE 🥇,6,12,814,0,0,0,0,1,5,0,0,0,0,0,1209,814,147,20,0,0,1,0,3,1,51800,0,1800,459,3,47650,0
3,0,76561198028181961,team_Cuuurl_o_,shzss,4,14,630,1,0,0,0,0,4,0,0,0,0,0,1428,630,157,30,0,0,0,0,4,2,47750,0,1500,503,2,48800,0
3,0,76561199641521496,team_Cuuurl_o_,Warken,3,15,320,1,0,0,0,0,4,0,0,0,0,0,1500,320,76,9,0,0,1,0,0,0,43150,0,900,666,2,44200,0
3,0,76561198126695240,team_Rasande_Roland,skarre_,21,5,1905,3,0,1,1,5,5,22,0,0,10,4,1045,1905,273,64,0,0,0,0,6,5,71950,0,6100,166,9,49650,5
3,0,76561197973642923,team_Rasande_Roland,Phase,17,5,1808,3,0,0,2,3,6,9,1,1,7,2,638,1808,156,45,1,0,0,0,3,2,65800,0,5100,279,12,49050,4
3,0,76561197998893054,team_Rasande_Roland,BJOERN,17,7,1835,6,0,0,1,5,9,119,4,4,11,4,898,1835,220,54,0,0,0,0,2,1,66250,0,5400,284,13,49650,5
3,0,76561197988215620,team_Rasande_Roland,Rasande Roland,9,8,1006,5,0,0,1,0,2,0,0,0,6,5,894,1006,118,33,0,0,0,0,0,0,69500,0,2700,311,6,49050,7
3,0,76561198070028224,team_Rasande_Roland,Mousn,3,5,253,1,0,0,0,0,3,0,0,0,9,3,665,253,81,12,0,0,0,0,4,1,64100,0,900,252,1,44550,3
