matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
18,0,76561198405200060,team_Amp3d,Krak3N,21,15,2462,5,0,1,4,1,4,1,1,1,5,3,1552,2462,245,78,1,0,1,0,6,3,53550,0,5700,636,10,57500,5
18,0,76561198016179055,team_Amp3d,Trivial Tom,9,13,856,1,0,0,1,1,8,81,5,5,6,5,1427,856,144,22,0,0,1,1,5,3,50550,0,2100,493,3,50500,7
18,0,76561197969964703,team_Amp3d,Are those reebok or nike?,8,15,1033,2,0,0,0,0,9,127,3,5,0,0,1515,1033,204,39,1,0,0,0,0,0,47850,0,2400,701,3,47200,0
18,0,76561198419823268,team_Amp3d,Amp3d,7,15,779,3,0,0,1,0,5,0,0,0,4,3,1499,779,137,25,1,0,0,0,0,0,47750,0,2700,750,4,48900,3
18,0,76561198019035694,team_Amp3d,wRoNg,6,14,1000,5,0,0,1,0,7,80,2,2,15,6,1400,1000,137,35,0,0,1,0,6,1,56800,0,1800,547,3,44850,8
18,0,76561197998893054,team_Phase,BJOERN,24,10,2222,3,0,0,1,8,4,102,1,1,7,5,1243,2222,169,43,0,0,0,0,7,6,92800,0,5800,544,11,53450,10
18,0,76561198126695240,team_Phase,skarre_,17,10,1628,1,0,0,1,6,6,56,1,1,10,5,1208,1628,242,49,1,1,0,0,3,2,72400,0,6300,543,7,55250,9
18,0,76561197973642923,team_Phase,Phase,16,9,1646,5,0,0,1,3,4,48,2,2,11,8,1221,1646,185,44,2,1,0,0,1,1,70150,0,4800,479,8,58350,11
18,0,76561197988215620,team_Phase,Rasande Roland,12,9,1076,4,0,0,0,4,5,5,2,3,5,2,1066,1076,283,39,1,1,0,0,1,0,74450,0,4300,542,4,53250,3
18,0,76561198070028224,team_Phase,Mousn,3,13,821,8,0,0,0,0,7,97,1,1,5,2,1392,821,243,37,0,0,0,0,5,1,63350,0,1800,350,0,51700,2
