matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
16,0,76561198405200060,team_Trivial_Tom,Krak3N,41,27,4425,11,0,1,4,6,17,445,7,15,9,5,3006,4425,577,133,2,0,4,1,15,10,149400,0,12900,1084,21,130600,5
16,0,76561198019035694,team_Trivial_Tom,wRoNg,35,25,3853,8,1,2,2,3,21,263,8,13,21,10,2651,3853,557,136,0,0,3,1,10,7,152800,0,10500,921,14,119350,15
16,0,76561198419823268,team_Trivial_Tom,Amp3d,24,26,2602,6,0,0,1,4,9,274,1,3,9,3,2889,2602,283,73,3,1,0,0,5,3,166050,0,6200,964,8,125100,5
16,0,76561197969964703,team_Trivial_Tom,Are those reebok or nike?,22,28,2495,16,0,0,1,5,23,243,7,12,0,0,3038,2495,606,88,0,0,1,0,1,0,149300,0,6600,1095,5,119450,0
16,0,76561198016179055,team_Trivial_Tom,Trivial Tom,10,30,1243,9,0,0,0,1,21,90,8,9,10,5,2956,1243,366,52,1,0,0,0,4,0,147100,0,3300,1198,4,117100,6
16,0,76561198090211954,team_Warken,Cuuurl o} ♿,40,24,3750,6,1,0,2,10,19,155,9,10,29,9,2893,3750,458,98,2,2,1,1,6,3,161350,0,13200,800,24,124600,11
16,0,76561198041848691,team_Warken,Atlas,34,26,3867,9,0,0,3,5,16,185,6,7,28,17,2847,3867,502,110,3,1,3,0,8,4,173550,0,10200,1117,18,122250,29
16,0,76561199163643591,team_Warken,✯ BIGGIE CHEESE 🥇,26,28,2990,12,0,0,2,4,10,124,5,7,1,0,3057,2990,420,93,0,0,1,0,8,4,155750,0,8400,895,15,116850,0
16,0,76561198028181961,team_Warken,shzss_,22,25,2600,9,0,2,0,1,6,100,3,3,3,2,2708,2600,380,89,1,0,1,0,11,4,158150,0,6700,791,11,128650,4
16,0,76561199641521496,team_Warken,Warken,13,29,1333,3,0,0,0,4,6,25,3,3,0,0,3113,1333,309,49,1,1,1,0,2,0,131700,0,3900,1072,4,124800,0
