matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
14,0,76561198041848691,team_cuuurl,Atlas,27,15,2909,4,0,2,2,4,11,79,2,2,22,13,1693,2909,366,90,1,0,1,0,6,5,105600,0,8100,674,16,73800,18
14,0,76561198090211954,team_cuuurl,Cuuurl o} ♿,24,18,2466,3,0,1,1,4,14,122,4,6,17,9,1952,2466,306,71,0,0,1,0,5,3,103700,0,7200,731,13,75600,14
14,0,76561199163643591,team_cuuurl,✯ BIGGIE CHEESE 🥇,21,16,2218,6,0,1,0,4,7,279,2,5,1,0,1816,2218,353,66,0,0,1,0,8,6,107400,0,5500,604,8,76500,0
14,0,76561198028181961,team_cuuurl,shzss_,9,17,1404,4,0,0,0,2,10,60,2,2,3,3,1760,1404,206,43,0,0,2,0,4,1,102700,0,2700,801,6,70550,3
14,0,76561199641521496,team_cuuurl,Warken,5,16,622,2,0,0,0,0,0,28,0,0,0,0,1695,622,113,19,1,0,0,0,1,0,83900,0,1500,670,2,65650,0
14,0,76561198405200060,team_krak3n,Krak3N,26,17,2311,3,1,0,1,6,11,126,6,10,7,3,1983,2311,263,67,1,1,0,0,8,3,81750,0,8100,584,14,78300,6
14,0,76561198019035694,team_krak3n,wRoNg,21,16,1960,6,0,0,2,4,14,257,9,12,21,11,1765,1960,314,50,0,0,1,1,6,2,89350,0,6900,613,16,73550,20
14,0,76561198419823268,team_krak3n,Amp3d,16,16,1720,5,0,0,0,3,5,88,1,1,4,2,1703,1720,195,54,0,0,1,0,9,4,90400,0,4600,721,6,71750,4
14,0,76561198016179055,team_krak3n,Trivial Tom,10,19,1350,6,0,0,0,2,9,74,3,3,7,2,2093,1350,240,52,0,0,0,0,1,0,86350,0,3600,791,4,75300,2
14,0,76561197969964703,team_krak3n,Are those reebok or nike?,9,18,1575,12,0,0,0,0,16,382,7,13,3,0,2075,1575,345,43,0,0,1,0,0,0,75800,0,3000,780,3,69350,0
