matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
15,0,76561198405200060,team_Amp3d,Krak3N,20,16,1812,1,0,1,0,4,5,10,2,2,0,0,1607,1812,198,59,0,0,1,0,6,4,64950,0,7000,740,11,63200,0
15,0,76561198019035694,team_Amp3d,wRoNg,18,14,2199,3,0,0,1,5,11,74,2,2,8,5,1460,2199,341,58,1,0,2,0,4,2,68500,0,5400,765,12,57450,7
15,0,76561198016179055,team_Amp3d,Trivial Tom,12,14,1447,5,0,0,1,3,5,87,1,1,4,1,1487,1447,210,36,1,0,1,0,4,1,57200,0,3700,631,8,55050,1
15,0,76561198419823268,team_Amp3d,Amp3d,7,16,786,1,0,0,0,1,2,15,1,1,3,0,1639,786,128,25,0,0,1,0,4,1,66600,0,1500,590,3,52450,0
15,0,76561197969964703,team_Amp3d,Are those reebok or nike?,6,16,1288,7,0,0,0,0,3,12,2,3,0,0,1631,1288,258,54,0,0,0,0,1,0,59150,0,2100,584,3,52750,0
15,0,76561198041848691,team_Warken,Atlas,23,12,2022,4,0,0,2,6,8,148,2,2,8,1,1529,2022,302,62,0,0,3,2,4,2,77350,0,6900,465,8,64950,1
15,0,76561198090211954,team_Warken,Cuuurl o} ♿,16,12,1547,5,0,0,1,2,7,88,1,1,7,5,1500,1547,179,39,0,0,0,0,2,1,75700,0,4800,486,10,60600,6
15,0,76561199163643591,team_Warken,✯ BIGGIE CHEESE 🥇,15,14,1833,4,0,0,1,5,6,106,5,7,0,0,1537,1833,259,34,0,0,0,0,9,6,82150,0,3100,487,6,62100,0
15,0,76561198028181961,team_Warken,shzss_,14,15,1456,5,0,0,1,2,5,84,2,2,1,0,1611,1456,168,48,0,0,0,0,4,2,71850,0,4200,603,4,63700,0
15,0,76561199641521496,team_Warken,Warken,8,11,966,2,0,0,0,1,1,0,0,0,0,0,1355,966,246,30,0,0,0,0,0,0,64250,0,2400,574,4,61700,0
