matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
8,0,76561198051775181,team_Lolkana,ottyhard,23,13,2235,4,0,2,2,1,4,48,1,1,0,0,1595,2235,296,86,0,0,1,1,8,6,95850,0,7200,512,4,73950,0
8,0,76561198040889302,team_Lolkana,Daimon,19,15,1985,4,0,0,2,3,10,38,1,2,17,8,1704,1985,331,48,0,0,0,0,4,3,96850,0,5500,582,12,71050,8
8,0,76561198000930043,team_Lolkana,kr4nk,16,15,1517,3,0,0,0,6,8,0,0,0,13,4,1591,1517,318,52,0,0,1,0,4,1,89900,0,5100,606,7,68950,5
8,0,76561198009714204,team_Lolkana,units,16,11,2076,10,0,1,2,1,17,268,8,14,13,8,1433,2076,381,61,2,2,0,0,5,2,96000,0,5400,525,9,70450,15
8,0,76561199121624477,team_Lolkana,Lolkana,16,14,2054,5,0,0,1,3,3,43,2,3,7,3,1437,2054,230,69,2,0,1,0,2,2,85800,0,5700,775,5,69550,5
8,0,76561198405200060,team_wRoNg,Krak3N,18,17,2014,5,0,0,2,4,12,141,8,11,3,0,1854,2014,303,47,1,0,0,0,7,3,80900,0,4600,497,8,79750,0
8,0,76561198450344727,team_wRoNg,Alex von Grisch,18,17,1491,1,0,0,2,3,12,65,4,6,6,4,1919,1491,203,48,1,1,1,0,4,2,65100,0,6300,791,10,75650,5
8,0,76561198019035694,team_wRoNg,wRoNg,12,20,1480,4,0,0,0,3,13,170,6,9,11,4,2119,1480,273,43,0,0,0,0,3,0,84200,0,4200,676,8,70400,9
8,0,76561198419823268,team_wRoNg,Amp3d,12,18,1454,5,0,0,0,1,2,15,1,2,1,1,1962,1454,168,42,1,1,0,0,7,4,81450,0,2800,708,1,69300,1
8,0,76561198016179055,team_wRoNg,Trivial Tom,8,18,1321,7,0,0,0,1,8,142,1,1,4,4,2013,1321,207,45,2,0,0,0,2,0,82400,0,2700,680,3,72550,7
