matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
9,0,76561198019035694,team_Amp3d,wRoNg,27,18,2985,8,0,0,2,7,12,301,4,9,13,3,2026,2985,417,80,1,1,2,0,7,4,122300,0,7700,806,12,90550,4
9,0,76561197978210673,team_Amp3d,Erold,25,20,2323,6,0,1,3,3,16,204,7,9,17,7,2484,2323,394,73,1,1,0,0,7,6,117500,0,7500,809,12,99700,12
9,0,76561198405200060,team_Amp3d,Krak3N,24,22,2930,10,0,0,3,1,17,219,7,7,12,6,2349,2930,371,75,0,0,0,0,0,0,121950,0,7200,1027,17,103450,9
9,0,76561198419823268,team_Amp3d,Amp3d,20,21,2192,10,0,0,0,5,8,210,3,3,5,1,2278,2192,304,74,0,0,2,1,6,1,107700,0,6000,938,8,91050,1
9,0,76561198016179055,team_Amp3d,Trivial Tom,13,20,1537,1,0,1,1,1,9,172,7,8,2,0,2112,1537,145,34,0,0,1,0,10,3,127150,0,2300,817,3,90700,0
9,0,76561198000930043,team_kr4nk,kr4nk,24,25,2891,9,0,0,2,4,9,408,5,9,17,12,2612,2891,403,99,0,0,0,0,11,5,126100,0,7500,847,7,97050,19
9,0,76561198040889302,team_kr4nk,Daimon,21,19,2237,5,0,0,2,0,8,84,4,4,18,5,2187,2237,338,62,0,0,0,0,5,3,133800,0,5900,904,13,91700,8
9,0,76561198009714204,team_kr4nk,units,20,19,2128,5,0,0,1,3,16,187,7,8,25,15,2304,2128,530,68,2,0,2,0,3,2,131950,0,5800,1024,9,91000,27
9,0,76561199121624477,team_kr4nk,Lolkana,19,21,1831,5,0,0,0,5,6,76,3,3,17,12,2230,1831,267,60,0,0,0,0,5,2,119950,0,6000,886,9,95200,19
9,0,76561198051775181,team_kr4nk,ottyhard,17,25,2162,7,0,0,0,2,7,115,3,3,5,2,2634,2162,280,73,1,0,1,0,6,4,127150,0,5100,1113,5,94000,2
