matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
10,0,76561198009714204,team_ottyhard,units,31,23,3458,7,0,1,2,4,14,175,6,8,19,5,2377,3458,570,93,2,0,4,1,8,4,132950,0,7900,1179,13,98650,8
10,0,76561199121624477,team_ottyhard,Lolkana,23,20,2323,4,0,1,0,5,4,120,4,6,9,4,2226,2323,345,77,2,1,1,0,4,3,116950,0,8200,1211,9,108900,11
10,0,76561198040889302,team_ottyhard,Daimon,19,24,2171,8,0,0,1,6,9,2,0,0,14,8,2456,2171,396,69,0,0,1,0,6,3,118400,0,5300,1252,7,96450,9
10,0,76561198051775181,team_ottyhard,ottyhard,16,21,1947,10,0,0,0,4,5,45,2,3,4,3,2311,1947,265,69,0,0,1,1,7,2,123250,0,4800,961,4,99600,4
10,0,76561198000930043,team_ottyhard,kr4nk,15,23,1454,6,0,0,0,4,8,63,1,1,4,1,2362,1454,337,51,0,0,2,0,4,1,120150,0,4500,1135,2,96250,2
10,0,76561198405200060,team_wRoNg,Krak3N,34,23,3581,6,0,2,2,4,15,102,5,5,10,5,2444,3581,457,116,1,0,0,0,7,5,121850,0,10600,1020,16,110000,7
10,0,76561197978210673,team_wRoNg,Erold,24,22,2278,6,0,0,2,3,15,136,7,7,13,7,2300,2278,418,70,2,0,1,1,6,3,126850,0,7000,1239,10,99850,10
10,0,76561198019035694,team_wRoNg,wRoNg,23,20,2753,7,0,0,1,5,15,63,2,2,19,6,2241,2753,417,101,0,0,3,1,4,3,116750,0,7000,1090,6,103550,12
10,0,76561198419823268,team_wRoNg,Amp3d,18,18,1766,6,0,0,0,3,12,128,5,5,7,1,2046,1766,295,58,1,1,1,0,7,3,128450,0,4800,936,4,97850,1
10,0,76561198016179055,team_wRoNg,Trivial Tom,12,21,1354,12,0,0,0,2,7,88,5,6,9,6,2322,1354,290,52,0,0,0,0,5,2,117950,0,4800,809,4,102250,11
