matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
6,0,76561198009714204,team_Daimon,units,19,13,2436,8,0,0,2,2,15,213,9,14,13,9,1457,2436,445,71,1,1,1,0,1,0,71050,0,6600,620,11,59950,13
6,0,76561198051775181,team_Daimon,ottyhard,15,19,1545,4,0,0,1,4,1,21,1,2,2,0,1959,1545,250,52,1,0,2,0,6,2,67600,0,4400,834,5,63650,0
6,0,76561199121624477,team_Daimon,Lolkana,11,15,1021,2,0,0,1,1,2,100,2,4,10,8,1555,1021,181,37,0,0,1,0,4,2,64100,0,3900,693,5,56850,15
6,0,76561198040889302,team_Daimon,Daimon,8,16,1128,6,0,0,1,1,6,64,1,3,4,2,1727,1128,252,27,0,0,0,0,6,3,66700,0,2400,545,3,58050,3
6,0,76561198000930043,team_Daimon,kr4nk,7,16,1032,5,0,0,0,0,4,92,1,2,13,6,1608,1032,293,37,0,0,1,0,3,1,64700,0,2700,533,6,54750,8
6,0,76561197973642923,team_Mousn,Phase,20,10,1568,1,0,0,1,3,9,37,4,5,9,6,1265,1568,365,55,0,0,1,0,1,1,80050,0,6000,558,9,66050,9
6,0,76561197998893054,team_Mousn,BJOERN,20,11,2140,7,0,0,2,2,13,171,8,10,13,10,1387,2140,404,60,2,1,0,0,7,6,85250,0,6000,538,10,64050,21
6,0,76561198126695240,team_Mousn,skarre_,18,15,1600,7,0,0,3,1,14,220,4,5,12,8,1781,1600,290,51,0,0,0,0,6,3,78100,0,5700,590,6,66950,17
6,0,76561197988215620,team_Mousn,Rasande Roland,16,12,1787,5,0,0,1,3,6,13,4,5,4,3,1394,1787,269,71,0,0,0,0,4,2,81150,0,5100,508,4,62650,5
6,0,76561198070028224,team_Mousn,Mousn,5,12,1211,12,0,0,0,0,12,357,11,19,5,5,1335,1211,140,32,0,0,0,0,2,0,71550,0,1500,534,1,61250,6
