matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
7,0,76561199121624477,team_Daimon,Lolkana,19,14,1978,2,0,1,1,3,3,31,1,1,9,5,1481,1978,312,76,1,1,3,1,2,0,51350,0,6300,578,7,59000,9
7,0,76561198009714204,team_Daimon,units,9,15,1254,4,0,0,0,1,10,262,7,10,7,3,1500,1254,152,29,0,0,2,0,0,0,50850,0,2800,651,4,47500,5
7,0,76561198000930043,team_Daimon,kr4nk,5,15,452,2,0,0,0,2,3,4,1,1,7,0,1577,452,144,23,0,0,1,1,7,2,47600,0,1500,466,1,49150,0
7,0,76561198040889302,team_Daimon,Daimon,4,15,486,0,0,0,0,0,3,22,0,0,2,1,1497,486,83,15,0,0,0,0,3,0,46150,0,1200,425,3,43000,1
7,0,76561198051775181,team_Daimon,ottyhard,3,17,619,3,0,0,0,0,1,0,0,0,3,2,1700,619,89,20,0,0,0,0,5,0,49800,0,900,507,2,49300,4
7,0,76561198126695240,team_Mousn,skarre_,25,7,2291,5,0,0,3,6,3,201,1,1,14,6,835,2291,265,69,2,0,0,0,4,3,77150,0,8100,297,11,57500,8
7,0,76561197973642923,team_Mousn,Phase,15,8,1442,6,0,0,1,3,6,168,3,4,13,6,980,1442,221,37,0,0,0,0,3,3,74400,0,4500,392,5,54000,9
7,0,76561197998893054,team_Mousn,BJOERN,15,7,1556,3,0,0,0,4,10,137,3,4,12,8,806,1556,89,23,0,0,0,0,3,3,88150,0,3300,310,6,52100,13
7,0,76561198070028224,team_Mousn,Mousn,13,8,1445,6,0,0,2,0,5,59,2,3,11,8,1037,1445,276,51,1,0,0,0,3,3,74550,0,5400,392,6,62600,12
7,0,76561197988215620,team_Mousn,Rasande Roland,10,10,1221,4,0,0,0,2,1,12,0,0,9,6,1226,1221,219,44,0,0,0,0,4,3,73650,0,3200,232,4,54450,9
