matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
20,0,76561198019035694,Spectator,wRoNg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,76561198009714204,team_Daimon,units,22,7,2367,6,0,0,1,7,10,115,2,2,13,8,856,2367,349,76,0,0,0,0,3,3,76350,0,6900,240,8,58650,11
20,0,76561198051775181,team_Daimon,ottyhard,14,11,1586,6,0,0,0,4,2,78,1,1,0,0,1367,1586,203,47,0,0,0,0,1,1,74850,0,4000,347,7,54450,0
20,0,76561198040889302,team_Daimon,Daimon,12,10,969,2,0,0,1,1,9,70,4,6,8,3,1152,969,220,31,0,0,0,0,6,5,68950,0,4500,372,7,51950,4
20,0,76561199121624477,team_Daimon,Lolkana,12,6,1169,2,0,0,0,4,3,0,0,0,7,2,708,1169,191,42,1,0,1,0,2,1,71100,0,4200,315,3,52550,2
20,0,76561198000930043,team_Daimon,kr4nk,10,11,1266,8,0,0,0,1,12,302,6,12,2,0,1193,1266,239,33,1,1,0,0,4,1,68650,0,3300,437,4,50850,0
20,0,76561198071692732,team_Warken,Widiz,13,14,1444,2,0,0,0,4,6,121,2,2,9,3,1475,1444,240,51,1,0,4,1,6,2,60800,0,4600,693,6,58500,5
20,0,76561198041848691,team_Warken,Atlas,12,13,1387,4,0,0,0,2,2,13,1,2,8,6,1396,1387,229,44,0,0,0,0,4,1,55300,0,3900,520,7,54400,9
20,0,76561198090211954,team_Warken,Cuuurl o} ♿,11,14,1038,2,0,0,0,4,4,19,0,0,17,13,1468,1038,167,31,0,0,1,0,2,1,54650,0,3300,579,6,49750,21
20,0,76561199163643591,team_Warken,✯ BIGGIE CHEESE 🥇,7,15,938,3,0,0,0,2,4,1,1,1,0,0,1551,938,107,28,0,0,0,0,4,1,49350,0,2100,485,5,52650,0
20,0,76561199641521496,team_Warken,Warken,2,14,469,2,0,0,0,0,0,0,0,0,0,0,1467,469,118,24,0,0,0,0,0,0,47200,0,600,608,1,51700,0
