matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
19,0,76561198019035694,Spectator,wRoNg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,76561198041848691,team_cuuurl,Atlas,11,12,1043,0,0,0,0,2,1,45,1,1,5,1,1193,1043,124,29,0,0,1,1,3,2,42700,0,3400,713,7,45450,1
19,0,76561198090211954,team_cuuurl,Cuuurl o} ♿,7,13,819,2,0,0,0,1,1,20,1,1,14,6,1255,819,182,21,1,0,0,0,4,2,41500,0,2100,684,5,44250,10
19,0,76561199163643591,team_cuuurl,✯ BIGGIE CHEESE 🥇,7,13,1070,1,0,0,1,1,5,58,1,2,0,0,1300,1070,149,36,0,0,1,0,0,0,40600,0,2100,723,6,42650,0
19,0,76561198071692732,team_cuuurl,Widiz,6,11,875,1,0,0,0,1,6,58,2,2,5,2,1100,875,144,25,1,0,1,0,5,2,50400,0,1700,559,3,48700,3
19,0,76561199641521496,team_cuuurl,Warken,0,13,138,2,0,0,0,0,1,0,0,0,0,0,1300,138,62,7,0,0,0,0,1,0,36850,0,0,491,0,39900,0
19,0,76561198040889302,team_units,Daimon,16,4,1382,1,0,0,2,3,3,0,0,0,11,5,668,1382,59,24,1,0,1,1,1,1,73450,0,2200,238,3,44650,7
19,0,76561198009714204,team_units,units,15,4,1640,5,0,0,1,3,7,72,3,3,10,3,511,1640,260,50,1,1,0,0,2,1,56000,0,5400,136,11,46050,5
19,0,76561198000930043,team_units,kr4nk,12,9,1008,2,0,0,1,2,5,5,1,1,4,1,960,1008,227,40,0,0,0,0,4,3,54500,0,4200,460,5,44250,2
19,0,76561198051775181,team_units,ottyhard,12,8,1274,4,0,0,0,5,3,100,0,0,2,1,1023,1274,158,35,0,0,0,0,5,2,55350,0,3600,357,6,43650,1
19,0,76561199121624477,team_units,Lolkana,7,6,844,7,0,0,0,1,1,7,1,1,10,4,783,844,154,29,0,0,0,0,1,0,52950,0,2400,272,3,42450,7
